t_rel_s,force_N,force_kgf
0.022371,0.000000,0.000000
0.046787,0.000000,0.000000
0.071260,0.000000,0.000000
0.095557,0.000000,0.000000
0.119756,0.000000,0.000000
0.143988,0.000000,0.000000
0.168219,0.000000,0.000000
0.192338,0.000000,0.000000
0.216360,0.000000,0.000000
0.240334,0.000000,0.000000
0.264382,0.000000,0.000000
0.288397,0.000000,0.000000
0.312458,0.000000,0.000000
0.336495,0.000000,0.000000
0.360547,0.000000,0.000000
0.384669,0.000000,0.000000
0.408852,0.000000,0.000000
0.433029,0.000000,0.000000
0.457075,0.000000,0.000000
0.481202,0.000000,0.000000
0.505264,0.000000,0.000000
0.529393,0.000000,0.000000
0.553437,0.000000,0.000000
0.577474,0.000000,0.000000
0.601507,0.000000,0.000000
0.626321,0.000000,0.000000
0.650597,0.000000,0.000000
0.674935,0.000000,0.000000
0.699134,0.000000,0.000000
0.723330,0.000000,0.000000
0.747401,0.000000,0.000000
0.771455,0.000000,0.000000
0.795490,0.000000,0.000000
0.819540,0.000000,0.000000
0.843577,0.000000,0.000000
0.867626,0.000000,0.000000
0.891643,0.000000,0.000000
0.915860,0.800909,0.081670
0.940330,0.800909,0.081670
0.964593,0.800909,0.081670
0.988667,0.800909,0.081670
1.012802,0.800909,0.081670
1.036946,0.800909,0.081670
1.061138,0.800909,0.081670
1.085351,0.800909,0.081670
1.109598,0.800909,0.081670
1.133770,0.800909,0.081670
1.158274,1.601819,0.163340
1.182830,1.601819,0.163340
1.207227,1.601819,0.163340
1.233563,1.601819,0.163340
1.258213,1.601819,0.163340
1.282542,1.601819,0.163340
1.306766,1.601819,0.163340
1.331074,1.601819,0.163340
1.355358,1.601819,0.163340
1.379585,1.601819,0.163340
1.403753,2.635250,0.268721
1.427970,2.635250,0.268721
1.452043,2.635250,0.268721
1.476171,2.635250,0.268721
1.500210,2.635250,0.268721
1.524355,2.635250,0.268721
1.548729,2.635250,0.268721
1.572847,2.635250,0.268721
1.597046,2.635250,0.268721
1.621077,2.635250,0.268721
1.645189,2.635250,0.268721
1.669311,3.513667,0.358294
1.693433,3.513667,0.358294
1.717576,3.513667,0.358294
1.741728,3.513667,0.358294
1.765961,3.513667,0.358294
1.790137,3.513667,0.358294
1.814260,3.513667,0.358294
1.838351,3.513667,0.358294
1.862423,3.513667,0.358294
1.886560,3.513667,0.358294
1.910738,4.107890,0.418888
1.934872,4.107890,0.418888
1.959041,4.107890,0.418888
1.983240,4.107890,0.418888
2.007424,4.107890,0.418888
2.031468,4.107890,0.418888
2.055512,4.107890,0.418888
2.079549,4.107890,0.418888
2.103625,4.107890,0.418888
2.127759,4.107890,0.418888
2.151909,4.882964,0.497924
2.175997,4.882964,0.497924
2.200266,4.882964,0.497924
2.224375,4.882964,0.497924
2.248537,4.882964,0.497924
2.272686,4.882964,0.497924
2.296782,4.882964,0.497924
2.321077,4.882964,0.497924
2.345325,4.882964,0.497924
2.369598,4.882964,0.497924
2.393746,4.882964,0.497924
2.418045,5.658038,0.576959
2.442365,5.658038,0.576959
2.466640,5.658038,0.576959
2.490794,5.658038,0.576959
2.514937,5.658038,0.576959
2.539129,5.658038,0.576959
2.563377,5.658038,0.576959
2.587595,5.658038,0.576959
2.611816,5.658038,0.576959
2.636061,5.658038,0.576959
2.660343,6.329768,0.645457
2.684535,6.329768,0.645457
2.708824,6.329768,0.645457
2.733046,6.329768,0.645457
2.757248,6.329768,0.645457
2.781486,6.329768,0.645457
2.805613,6.329768,0.645457
2.829799,6.329768,0.645457
2.853979,6.329768,0.645457
2.878096,6.329768,0.645457
2.902273,6.949827,0.708685
2.926542,6.949827,0.708685
2.950789,6.949827,0.708685
2.974981,6.949827,0.708685
2.999106,6.949827,0.708685
3.023155,6.949827,0.708685
3.047382,6.949827,0.708685
3.071468,6.949827,0.708685
3.095630,6.949827,0.708685
3.119683,6.949827,0.708685
3.143742,6.949827,0.708685
3.167945,7.492378,0.764010
3.192053,7.492378,0.764010
3.216086,7.492378,0.764010
3.240261,7.492378,0.764010
3.264318,7.492378,0.764010
3.288467,7.492378,0.764010
3.312523,7.492378,0.764010
3.336572,7.492378,0.764010
3.360644,7.492378,0.764010
3.384764,7.492378,0.764010
3.408834,8.034930,0.819335
3.432884,8.034930,0.819335
3.457070,8.034930,0.819335
3.481200,8.034930,0.819335
3.505357,8.034930,0.819335
3.529503,8.034930,0.819335
3.553574,8.034930,0.819335
3.577617,8.034930,0.819335
3.601764,8.034930,0.819335
3.625936,8.034930,0.819335
3.650007,8.551645,0.872025
3.674166,8.551645,0.872025
3.698223,8.551645,0.872025
3.722638,8.551645,0.872025
3.746663,8.551645,0.872025
3.770723,8.551645,0.872025
3.794855,8.551645,0.872025
3.818899,8.551645,0.872025
3.842959,8.551645,0.872025
3.867012,8.551645,0.872025
3.891158,8.551645,0.872025
3.915309,8.913347,0.908908
3.939354,8.913347,0.908908
3.963407,8.913347,0.908908
3.987629,8.913347,0.908908
4.011800,8.913347,0.908908
4.035961,8.913347,0.908908
4.060188,8.913347,0.908908
4.084282,8.913347,0.908908
4.108587,8.913347,0.908908
4.132835,8.913347,0.908908
4.157030,9.404226,0.958964
4.181078,9.404226,0.958964
4.205296,9.404226,0.958964
4.229620,9.404226,0.958964
4.253837,9.404226,0.958964
4.278159,9.404226,0.958964
4.302326,9.404226,0.958964
4.326556,9.404226,0.958964
4.350748,9.404226,0.958964
4.375047,9.404226,0.958964
4.399167,9.404226,0.958964
4.423318,9.843435,1.003751
4.447522,9.843435,1.003751
4.471687,9.843435,1.003751
4.495782,9.843435,1.003751
4.520025,9.843435,1.003751
4.544227,9.843435,1.003751
4.568390,9.843435,1.003751
4.592512,9.843435,1.003751
4.616632,9.843435,1.003751
4.640692,9.843435,1.003751
4.664769,10.282643,1.048538
4.688810,10.282643,1.048538
4.712956,10.282643,1.048538
4.737009,10.282643,1.048538
4.761165,10.282643,1.048538
4.785334,10.282643,1.048538
4.809370,10.282643,1.048538
4.833523,10.282643,1.048538
4.857945,10.282643,1.048538
4.882048,10.282643,1.048538
4.906211,10.747687,1.095959
4.930437,10.747687,1.095959
4.954565,10.747687,1.095959
4.978776,10.747687,1.095959
5.002928,10.747687,1.095959
