t_rel_s,force_N,force_kgf
0.023643,0.000000,0.000000
0.048308,0.000000,0.000000
0.072814,0.000000,0.000000
0.097366,0.000000,0.000000
0.121848,0.000000,0.000000
0.145999,0.000000,0.000000
0.170159,0.000000,0.000000
0.194273,0.000000,0.000000
0.218396,0.000000,0.000000
0.242576,0.000000,0.000000
0.266773,0.000000,0.000000
0.290927,0.000000,0.000000
0.315209,0.000000,0.000000
0.339278,0.000000,0.000000
0.363351,0.000000,0.000000
0.387474,0.000000,0.000000
0.411554,0.000000,0.000000
0.435636,0.000000,0.000000
0.459667,0.000000,0.000000
0.483624,0.000000,0.000000
0.507673,0.000000,0.000000
0.531731,0.000000,0.000000
0.555861,0.000000,0.000000
0.579950,0.000000,0.000000
0.604021,0.000000,0.000000
0.628256,0.000000,0.000000
0.652516,0.000000,0.000000
0.676747,0.000000,0.000000
0.700933,0.000000,0.000000
0.724976,0.000000,0.000000
0.749135,0.000000,0.000000
0.773551,0.000000,0.000000
0.797696,0.000000,0.000000
0.821823,0.000000,0.000000
0.845969,0.000000,0.000000
0.870083,0.000000,0.000000
0.894147,0.000000,0.000000
0.918187,0.000000,0.000000
0.942273,0.000000,0.000000
0.966519,0.000000,0.000000
0.990924,0.000000,0.000000
1.015121,0.000000,0.000000
1.039181,0.000000,0.000000
1.063284,0.000000,0.000000
1.087295,0.800909,0.081670
1.111344,0.800909,0.081670
1.135598,0.800909,0.081670
1.159979,0.800909,0.081670
1.184749,0.800909,0.081670
1.209099,0.800909,0.081670
1.233547,0.800909,0.081670
1.258007,0.800909,0.081670
1.282204,0.800909,0.081670
1.306485,0.800909,0.081670
1.335560,1.317625,0.134360
1.359815,1.317625,0.134360
1.384355,1.317625,0.134360
1.408583,1.317625,0.134360
1.432791,1.317625,0.134360
1.456961,1.317625,0.134360
1.481116,1.317625,0.134360
1.505448,1.317625,0.134360
1.529624,1.317625,0.134360
1.553777,1.317625,0.134360
1.577945,1.886013,0.192320
1.602198,1.886013,0.192320
1.626412,1.886013,0.192320
1.650538,1.886013,0.192320
1.674591,1.886013,0.192320
1.698646,1.886013,0.192320
1.722696,1.886013,0.192320
1.746745,1.886013,0.192320
