t_rel_s,force_N,force_kgf
0.022241,-0.000000,-0.000000
0.046543,-0.000000,-0.000000
0.070599,-0.000000,-0.000000
0.094861,-0.000000,-0.000000
0.118935,-0.000000,-0.000000
0.143173,-0.000000,-0.000000
0.167259,-0.000000,-0.000000
0.191411,-0.000000,-0.000000
0.215548,-0.000000,-0.000000
0.239591,-0.000000,-0.000000
0.263665,-0.000000,-0.000000
0.287677,-0.000000,-0.000000
0.311778,-0.000000,-0.000000
0.335786,-0.000000,-0.000000
0.359829,-0.000000,-0.000000
0.383875,0.000000,0.000000
0.407923,0.000000,0.000000
0.431953,0.000000,0.000000
0.456036,0.000000,0.000000
0.480183,0.000000,0.000000
0.504218,0.000000,0.000000
0.528130,0.000000,0.000000
0.552185,0.000000,0.000000
0.576222,0.000000,0.000000
0.600260,0.000000,0.000000
0.624315,0.000000,0.000000
0.648360,0.000000,0.000000
0.672507,0.000000,0.000000
0.696542,0.000000,0.000000
0.720720,0.000000,0.000000
0.744917,0.000000,0.000000
0.769027,0.000000,0.000000
0.793240,0.000000,0.000000
0.817370,0.000000,0.000000
0.841327,0.000000,0.000000
0.865402,0.000000,0.000000
0.889538,0.878417,0.089574
0.913735,0.878417,0.089574
0.937936,0.878417,0.089574
0.961991,0.878417,0.089574
0.986049,0.878417,0.089574
1.010110,0.878417,0.089574
1.034137,0.878417,0.089574
1.058312,0.878417,0.089574
1.082448,0.878417,0.089574
1.106524,0.878417,0.089574
1.130693,1.756834,0.179147
1.154940,1.756834,0.179147
1.179221,1.756834,0.179147
1.203403,1.756834,0.179147
1.227665,1.756834,0.179147
1.252086,1.756834,0.179147
1.276367,1.756834,0.179147
1.300492,1.756834,0.179147
1.324725,1.756834,0.179147
1.349008,1.756834,0.179147
1.373188,2.764429,0.281893
1.397274,2.764429,0.281893
1.421311,2.764429,0.281893
1.445392,2.764429,0.281893
1.469529,2.764429,0.281893
1.493661,2.764429,0.281893
1.517741,2.764429,0.281893
1.541792,2.764429,0.281893
1.565951,2.764429,0.281893
1.590080,2.764429,0.281893
1.614234,2.764429,0.281893
1.638385,3.668682,0.374101
1.662672,3.668682,0.374101
1.686714,3.668682,0.374101
1.710863,3.668682,0.374101
1.734966,3.668682,0.374101
1.759058,3.668682,0.374101
1.783129,3.668682,0.374101
1.807260,3.668682,0.374101
1.831318,3.668682,0.374101
1.855497,3.668682,0.374101
1.879612,4.572935,0.466310
1.903847,4.572935,0.466310
