t_rel_s,force_N,force_kgf
0.021969,0.000000,0.000000
0.046133,0.000000,0.000000
0.070207,0.000000,0.000000
0.094324,0.000000,0.000000
0.118440,0.000000,0.000000
0.142559,0.000000,0.000000
0.166626,0.000000,0.000000
0.190762,0.000000,0.000000
0.214811,0.000000,0.000000
0.239044,0.000000,0.000000
0.263279,0.000000,0.000000
0.287588,0.000000,0.000000
0.311831,0.000000,0.000000
0.336176,0.000000,0.000000
0.360449,0.000000,0.000000
0.384704,0.000000,0.000000
0.409014,0.000000,0.000000
0.433278,0.000000,0.000000
0.457340,0.000000,0.000000
0.481489,0.000000,0.000000
0.505708,0.000000,0.000000
0.529918,0.000000,0.000000
0.553998,0.000000,0.000000
0.578085,0.000000,0.000000
0.602185,0.000000,0.000000
0.626310,0.000000,0.000000
0.650322,0.000000,0.000000
0.674367,0.000000,0.000000
0.698418,0.000000,0.000000
0.722588,0.000000,0.000000
0.746726,0.697566,0.071132
0.770874,0.697566,0.071132
0.795036,0.697566,0.071132
0.819203,0.697566,0.071132
0.843342,0.697566,0.071132
0.867364,0.697566,0.071132
0.891439,0.697566,0.071132
0.915489,0.697566,0.071132
0.939516,0.697566,0.071132
0.963663,0.697566,0.071132
0.987815,1.059267,0.108015
1.011869,1.059267,0.108015
1.035965,1.059267,0.108015
1.060130,1.059267,0.108015
1.084320,1.059267,0.108015
1.108519,1.059267,0.108015
1.132633,1.059267,0.108015
1.156724,1.059267,0.108015
1.180751,1.059267,0.108015
1.204884,1.059267,0.108015
1.229036,1.601819,0.163340
1.253259,1.601819,0.163340
1.277531,1.601819,0.163340
1.301662,1.601819,0.163340
1.325864,1.601819,0.163340
1.350050,1.601819,0.163340
1.374266,1.601819,0.163340
1.398436,1.601819,0.163340
1.422487,1.601819,0.163340
1.446543,1.601819,0.163340
1.470712,1.601819,0.163340
1.494742,2.170206,0.221299
1.518829,2.170206,0.221299
1.542896,2.170206,0.221299
1.567125,2.170206,0.221299
1.591306,2.170206,0.221299
1.615397,2.170206,0.221299
1.639457,2.170206,0.221299
1.663615,2.170206,0.221299
1.687666,2.170206,0.221299
1.711746,2.170206,0.221299
