t_rel_s,force_N,force_kgf
0.022283,0.000000,0.000000
0.046660,0.000000,0.000000
0.070916,0.000000,0.000000
0.095106,0.000000,0.000000
0.119389,0.000000,0.000000
0.143629,0.000000,0.000000
0.167896,0.000000,0.000000
0.191947,0.000000,0.000000
0.216099,0.000000,0.000000
0.240281,0.000000,0.000000
0.264336,0.000000,0.000000
0.288614,0.000000,0.000000
0.312871,0.000000,0.000000
0.337026,0.000000,0.000000
0.361161,0.000000,0.000000
0.385219,0.000000,0.000000
0.409276,0.000000,0.000000
0.433323,0.000000,0.000000
0.457375,0.000000,0.000000
0.481524,0.000000,0.000000
0.505654,0.000000,0.000000
0.529749,0.000000,0.000000
0.553915,0.000000,0.000000
0.578109,0.000000,0.000000
0.602334,0.000000,0.000000
0.626444,0.000000,0.000000
0.650609,0.000000,0.000000
0.674772,0.000000,0.000000
0.698929,0.000000,0.000000
0.723107,0.206686,0.021076
0.747316,0.206686,0.021076
0.771433,0.206686,0.021076
0.795485,0.206686,0.021076
0.819531,0.206686,0.021076
0.843586,0.206686,0.021076
0.867687,0.206686,0.021076
0.891803,0.206686,0.021076
0.915868,0.206686,0.021076
0.940043,0.206686,0.021076
0.964171,0.645895,0.065863
0.988328,0.645895,0.065863
1.012830,0.645895,0.065863
1.037091,0.645895,0.065863
1.061428,0.645895,0.065863
1.085703,0.645895,0.065863
1.110096,0.645895,0.065863
1.134745,0.645895,0.065863
1.159106,0.645895,0.065863
1.183963,0.645895,0.065863
1.208414,1.110939,0.113284
1.232917,1.110939,0.113284
1.257229,1.110939,0.113284
1.281556,1.110939,0.113284
1.305858,1.110939,0.113284
1.330091,1.110939,0.113284
1.354451,1.110939,0.113284
1.378863,1.110939,0.113284
1.407277,1.110939,0.113284
1.431425,1.110939,0.113284
1.455658,1.420968,0.144898
1.479922,1.420968,0.144898
1.504196,1.420968,0.144898
1.528409,1.420968,0.144898
1.552510,1.420968,0.144898
1.576709,1.420968,0.144898
1.600874,1.420968,0.144898
1.625130,1.420968,0.144898
1.649339,1.420968,0.144898
1.673397,1.420968,0.144898
1.697443,1.420968,0.144898
1.721489,2.066863,0.210761
1.745574,2.066863,0.210761
1.769701,2.066863,0.210761
1.794061,2.066863,0.210761
1.818224,2.066863,0.210761
1.842377,2.066863,0.210761
1.866541,2.066863,0.210761
1.890811,2.066863,0.210761
1.914840,2.066863,0.210761
1.938909,2.066863,0.210761
1.962980,2.919444,0.297700
1.987111,2.919444,0.297700
2.011292,2.919444,0.297700
2.035440,2.919444,0.297700
2.059720,2.919444,0.297700
2.083946,2.919444,0.297700
2.108050,2.919444,0.297700
2.132177,2.919444,0.297700
2.156262,2.919444,0.297700
2.180384,2.919444,0.297700
2.204549,3.720353,0.379370
2.228609,3.720353,0.379370
2.252770,3.720353,0.379370
2.276866,3.720353,0.379370
2.300902,3.720353,0.379370
2.324941,3.720353,0.379370
2.349020,3.720353,0.379370
2.373061,3.720353,0.379370
2.397112,3.720353,0.379370
2.421169,3.720353,0.379370
2.445248,3.720353,0.379370
2.469288,4.702113,0.479482
