t_rel_s,force_N,force_kgf
0.022025,-0.000000,-0.000000
0.046220,-0.000000,-0.000000
0.070303,-0.000000,-0.000000
0.094466,-0.000000,-0.000000
0.118542,-0.000000,-0.000000
0.142586,-0.000000,-0.000000
0.166637,-0.000000,-0.000000
0.190841,-0.000000,-0.000000
0.214939,-0.000000,-0.000000
0.238991,-0.000000,-0.000000
0.263255,-0.000000,-0.000000
0.287376,-0.000000,-0.000000
0.311423,-0.000000,-0.000000
0.335385,-0.000000,-0.000000
0.359415,-0.000000,-0.000000
0.383468,-0.000000,-0.000000
0.407413,-0.000000,-0.000000
0.431451,-0.000000,-0.000000
0.455399,-0.000000,-0.000000
0.479443,-0.000000,-0.000000
0.503482,-0.000000,-0.000000
0.527429,-0.000000,-0.000000
0.551474,-0.000000,-0.000000
0.575442,-0.000000,-0.000000
0.599367,-0.000000,-0.000000
0.623418,-0.000000,-0.000000
0.647352,-0.000000,-0.000000
0.671420,-0.000000,-0.000000
0.695457,-0.000000,-0.000000
0.719433,-0.000000,-0.000000
0.743473,-0.000000,-0.000000
0.767518,-0.000000,-0.000000
0.791472,-0.000000,-0.000000
0.815524,-0.000000,-0.000000
0.839604,-0.000000,-0.000000
0.863647,0.000000,0.000000
0.887686,0.000000,0.000000
0.911729,0.000000,0.000000
0.935795,0.000000,0.000000
0.959846,0.000000,0.000000
0.983792,0.000000,0.000000
1.007857,0.000000,0.000000
1.031905,0.000000,0.000000
1.056005,0.000000,0.000000
1.080170,0.000000,0.000000
1.104308,0.000000,0.000000
1.128499,0.000000,0.000000
1.152774,0.000000,0.000000
1.176983,0.000000,0.000000
1.201147,0.000000,0.000000
1.225309,0.000000,0.000000
1.249369,0.000000,0.000000
1.273520,0.000000,0.000000
1.297639,0.000000,0.000000
1.321721,0.000000,0.000000
1.345825,0.930088,0.094843
1.369868,0.930088,0.094843
1.393806,0.930088,0.094843
1.417949,0.930088,0.094843
1.441876,0.930088,0.094843
1.465945,0.930088,0.094843
1.489988,0.930088,0.094843
1.514071,0.930088,0.094843
1.538062,0.930088,0.094843
1.562064,0.930088,0.094843
1.586069,0.930088,0.094843
1.610080,1.446804,0.147533
1.634143,1.446804,0.147533
1.658188,1.446804,0.147533
1.682152,1.446804,0.147533
1.706191,1.446804,0.147533
1.730235,1.446804,0.147533
1.754196,1.446804,0.147533
1.778238,1.446804,0.147533
1.802300,1.446804,0.147533
1.826348,1.446804,0.147533
1.850463,2.170206,0.221299
1.874756,2.170206,0.221299
1.899011,2.170206,0.221299
1.923201,2.170206,0.221299
1.947244,2.170206,0.221299
1.971323,2.170206,0.221299
1.995515,2.170206,0.221299
2.019662,2.170206,0.221299
2.043705,2.170206,0.221299
2.067888,2.170206,0.221299
2.092158,2.170206,0.221299
2.116230,2.996951,0.305604
2.140390,2.996951,0.305604
2.164318,2.996951,0.305604
2.188436,2.996951,0.305604
2.212439,2.996951,0.305604
2.236483,2.996951,0.305604
2.260606,2.996951,0.305604
2.284748,2.996951,0.305604
2.308996,2.996951,0.305604
2.333184,2.996951,0.305604
2.357401,3.513667,0.358294
2.381657,3.513667,0.358294
2.405781,3.513667,0.358294
2.430053,3.513667,0.358294
2.454283,3.513667,0.358294
2.478477,3.513667,0.358294
2.502646,3.513667,0.358294
2.526786,3.513667,0.358294
2.550931,3.513667,0.358294
2.575102,3.513667,0.358294
2.599268,4.237069,0.432061
2.623472,4.237069,0.432061
2.647674,4.237069,0.432061
2.671892,4.237069,0.432061
2.695940,4.237069,0.432061
2.720080,4.237069,0.432061
2.744112,4.237069,0.432061
2.768057,4.237069,0.432061
2.792115,4.237069,0.432061
2.816155,4.237069,0.432061
2.840235,4.237069,0.432061
2.864323,4.831292,0.492655
2.888329,4.831292,0.492655
2.912463,4.831292,0.492655
2.936551,4.831292,0.492655
2.960590,4.831292,0.492655
2.984662,4.831292,0.492655
3.008700,4.831292,0.492655
3.032789,4.831292,0.492655
3.056926,4.831292,0.492655
3.081107,4.831292,0.492655
3.105280,5.477187,0.558518
3.129296,5.477187,0.558518
3.153355,5.477187,0.558518
3.177474,5.477187,0.558518
3.201583,5.477187,0.558518
3.225623,5.477187,0.558518
3.249697,5.477187,0.558518
3.273769,5.477187,0.558518
3.297812,5.477187,0.558518
3.321884,5.477187,0.558518
3.346035,6.148918,0.627015
3.370164,6.148918,0.627015
3.394317,6.148918,0.627015
3.418431,6.148918,0.627015
3.442587,6.148918,0.627015
3.466651,6.148918,0.627015
3.490715,6.148918,0.627015
3.514767,6.148918,0.627015
3.538841,6.148918,0.627015
3.562817,6.148918,0.627015
3.586923,6.148918,0.627015
3.611019,6.717305,0.684974
3.635101,6.717305,0.684974
3.659256,6.717305,0.684974
3.683431,6.717305,0.684974
3.707520,6.717305,0.684974
3.731732,6.717305,0.684974
3.755828,6.717305,0.684974
3.779862,6.717305,0.684974
3.804009,6.717305,0.684974
