t_rel_s,force_N,force_kgf
0.022429,0.000000,0.000000
0.046632,0.000000,0.000000
0.070837,-0.017224,-0.001756
0.095048,-0.012918,-0.001317
0.119467,-0.010334,-0.001054
0.143667,-0.008612,-0.000878
0.167867,-0.007382,-0.000753
0.192169,-0.006459,-0.000659
0.216538,-0.005741,-0.000585
0.240795,-0.005167,-0.000527
0.264994,-0.005167,-0.000527
0.289207,-0.005167,-0.000527
0.313357,0.020669,0.002108
0.337418,0.020669,0.002108
0.361643,0.020669,0.002108
0.385750,0.020669,0.002108
0.409770,0.020669,0.002108
0.433903,0.020669,0.002108
0.458089,0.020669,0.002108
0.482245,0.020669,0.002108
0.506393,0.020669,0.002108
0.530436,0.020669,0.002108
0.554589,0.020669,0.002108
0.578741,0.201519,0.020549
0.602772,0.201519,0.020549
0.626816,0.201519,0.020549
0.650949,0.201519,0.020549
0.675108,0.201519,0.020549
0.699294,0.201519,0.020549
0.723541,0.201519,0.020549
0.747619,0.201519,0.020549
0.771819,0.201519,0.020549
0.795828,0.201519,0.020549
0.819894,0.434041,0.044260
0.843931,0.434041,0.044260
0.867995,0.434041,0.044260
0.892007,0.434041,0.044260
0.916050,0.434041,0.044260
0.940145,0.434041,0.044260
0.964555,0.434041,0.044260
0.989090,0.434041,0.044260
1.013378,0.434041,0.044260
1.037559,0.434041,0.044260
1.061682,0.795742,0.081143
1.085815,0.795742,0.081143
1.110128,0.795742,0.081143
1.134459,0.795742,0.081143
1.158738,0.795742,0.081143
1.183097,0.795742,0.081143
1.207280,0.795742,0.081143
1.231440,0.795742,0.081143
1.255662,0.795742,0.081143
1.280044,0.795742,0.081143
1.304363,0.795742,0.081143
1.328704,1.105772,0.112757
1.352971,1.105772,0.112757
1.377294,1.105772,0.112757
1.401508,1.105772,0.112757
1.425719,1.105772,0.112757
1.449981,1.105772,0.112757
1.474176,1.105772,0.112757
1.498363,1.105772,0.112757
1.522488,1.105772,0.112757
1.546669,1.105772,0.112757
1.570788,1.389965,0.141737
1.594985,1.389965,0.141737
1.619203,1.389965,0.141737
1.643335,1.389965,0.141737
1.667407,1.389965,0.141737
1.691579,1.389965,0.141737
1.715987,1.389965,0.141737
1.740134,1.389965,0.141737
1.764269,1.389965,0.141737
1.788429,1.389965,0.141737
1.812654,1.674159,0.170717
1.836763,1.674159,0.170717
1.860924,1.674159,0.170717
1.885090,1.674159,0.170717
1.909241,1.674159,0.170717
1.933813,1.674159,0.170717
1.958010,1.674159,0.170717
1.982163,1.674159,0.170717
2.006356,1.674159,0.170717
2.030601,1.674159,0.170717
2.054675,1.674159,0.170717
2.078870,1.803338,0.183889
2.102967,1.803338,0.183889
2.127015,1.803338,0.183889
2.151287,1.803338,0.183889
2.175444,1.803338,0.183889
2.199571,1.803338,0.183889
2.223666,1.803338,0.183889
2.247705,1.803338,0.183889
2.271737,1.803338,0.183889
2.295774,1.803338,0.183889
2.319831,2.061696,0.210234
2.343866,2.061696,0.210234
2.367934,2.061696,0.210234
2.392050,2.061696,0.210234
2.416114,2.061696,0.210234
2.440250,2.061696,0.210234
2.464508,2.061696,0.210234
2.488531,2.061696,0.210234
2.512623,2.061696,0.210234
2.536736,2.061696,0.210234
2.560786,2.061696,0.210234
2.584831,2.294218,0.233945
2.608921,2.294218,0.233945
2.632944,2.294218,0.233945
2.656995,2.294218,0.233945
2.681046,2.294218,0.233945
2.705091,2.294218,0.233945
2.729128,2.294218,0.233945
2.753085,2.294218,0.233945
2.777135,2.294218,0.233945
2.801180,2.294218,0.233945
2.825232,2.500904,0.255021
2.849295,2.500904,0.255021
2.873391,2.500904,0.255021
2.897474,2.500904,0.255021
2.921617,2.500904,0.255021
2.945741,2.500904,0.255021
2.969931,2.500904,0.255021
2.993992,2.500904,0.255021
3.018183,2.500904,0.255021
3.042216,2.500904,0.255021
3.066242,2.733426,0.278732
3.090304,2.733426,0.278732
3.114358,2.733426,0.278732
3.138397,2.733426,0.278732
3.162436,2.733426,0.278732
3.186472,2.733426,0.278732
3.210541,2.733426,0.278732
3.234683,2.733426,0.278732
3.258878,2.733426,0.278732
3.283190,2.733426,0.278732
3.307324,2.733426,0.278732
3.331516,2.965948,0.302443
3.355931,2.965948,0.302443
3.380190,2.965948,0.302443
3.404335,2.965948,0.302443
3.428695,2.965948,0.302443
3.452835,2.965948,0.302443
3.476938,2.965948,0.302443
3.500975,2.965948,0.302443
3.525177,2.965948,0.302443
3.549309,2.965948,0.302443
