t_rel_s,force_N,force_kgf
0.022414,0.000000,0.000000
0.046640,0.000000,0.000000
0.070671,0.000000,0.000000
0.094720,0.000000,0.000000
0.119004,0.000000,0.000000
0.143190,0.000000,0.000000
0.167269,0.000000,0.000000
0.191487,0.000000,0.000000
0.215622,0.000000,0.000000
0.239679,0.000000,0.000000
0.263815,0.000000,0.000000
0.287977,0.000000,0.000000
0.312084,0.000000,0.000000
0.336145,0.000000,0.000000
0.360290,0.000000,0.000000
0.384409,0.000000,0.000000
0.408469,0.000000,0.000000
0.432524,0.000000,0.000000
0.456573,0.000000,0.000000
0.480791,0.000000,0.000000
0.504905,0.000000,0.000000
0.528976,0.000000,0.000000
0.553030,0.000000,0.000000
0.577196,0.000000,0.000000
0.601334,0.000000,0.000000
0.625410,0.000000,0.000000
0.649791,0.000000,0.000000
0.673939,0.000000,0.000000
0.698113,0.000000,0.000000
0.722327,0.000000,0.000000
0.746398,0.000000,0.000000
0.770455,0.000000,0.000000
0.794626,0.000000,0.000000
0.818726,1.162610,0.118553
0.842868,1.162610,0.118553
0.867048,1.162610,0.118553
0.891124,1.162610,0.118553
0.915266,1.162610,0.118553
0.939440,1.162610,0.118553
0.963613,1.162610,0.118553
0.987793,1.162610,0.118553
1.012072,1.162610,0.118553
1.036347,1.162610,0.118553
1.060622,1.653490,0.168609
1.084902,1.653490,0.168609
1.109170,1.653490,0.168609
1.133444,1.653490,0.168609
1.157805,1.653490,0.168609
1.182491,1.653490,0.168609
1.206977,1.653490,0.168609
1.231791,1.653490,0.168609
1.256470,1.653490,0.168609
1.280787,1.653490,0.168609
1.305068,1.653490,0.168609
1.329556,2.299385,0.234472
1.353775,2.299385,0.234472
1.378099,2.299385,0.234472
1.402473,2.299385,0.234472
1.426740,2.299385,0.234472
1.450974,2.299385,0.234472
1.475256,2.299385,0.234472
1.499426,2.299385,0.234472
1.523754,2.299385,0.234472
1.547974,2.299385,0.234472
1.572249,3.306981,0.337218
1.596480,3.306981,0.337218
1.620744,3.306981,0.337218
1.644921,3.306981,0.337218
1.669166,3.306981,0.337218
1.693445,3.306981,0.337218
1.717716,3.306981,0.337218
1.741975,3.306981,0.337218
1.766113,3.306981,0.337218
1.790291,3.306981,0.337218
1.814475,4.288741,0.437330
1.838826,4.288741,0.437330
1.863001,4.288741,0.437330
1.887107,4.288741,0.437330
1.911173,4.288741,0.437330
1.935346,4.288741,0.437330
1.959399,4.288741,0.437330
1.983482,4.288741,0.437330
2.007697,4.288741,0.437330
2.031855,4.288741,0.437330
2.056120,4.288741,0.437330
2.080165,5.218829,0.532172
2.104241,5.218829,0.532172
2.128494,5.218829,0.532172
2.152665,5.218829,0.532172
2.176763,5.218829,0.532172
2.200854,5.218829,0.532172
2.225049,5.218829,0.532172
2.249188,5.218829,0.532172
2.273252,5.218829,0.532172
2.297371,5.218829,0.532172
2.321526,6.252261,0.637553
2.345808,6.252261,0.637553
2.369869,6.252261,0.637553
2.393962,6.252261,0.637553
2.418057,6.252261,0.637553
2.442196,6.252261,0.637553
2.466254,6.252261,0.637553
2.490379,6.252261,0.637553
2.514512,6.252261,0.637553
2.538568,6.252261,0.637553
2.562805,6.949827,0.708685
2.586914,6.949827,0.708685
2.611012,6.949827,0.708685
2.635170,6.949827,0.708685
2.659318,6.949827,0.708685
2.683398,6.949827,0.708685
2.707465,6.949827,0.708685
2.731696,6.949827,0.708685
2.756012,6.949827,0.708685
2.780195,6.949827,0.708685
2.804240,6.949827,0.708685
2.828375,7.828244,0.798259
2.852568,7.828244,0.798259
2.876944,7.828244,0.798259
2.901152,7.828244,0.798259
2.925298,7.828244,0.798259
2.949413,7.828244,0.798259
2.973536,7.828244,0.798259
2.997787,7.828244,0.798259
3.022340,7.828244,0.798259
3.046709,7.828244,0.798259
3.070924,8.603317,0.877294
3.095338,8.603317,0.877294
3.119439,8.603317,0.877294
3.143512,8.603317,0.877294
3.167582,8.603317,0.877294
3.191654,8.603317,0.877294
3.215893,8.603317,0.877294
3.240024,8.603317,0.877294
3.264178,8.603317,0.877294
3.288233,8.603317,0.877294
3.312293,8.603317,0.877294
3.336409,9.352555,0.953695
