t_rel_s,force_N,force_kgf
0.022266,-0.000000,-0.000000
0.046709,-0.000000,-0.000000
0.071007,-0.000000,-0.000000
0.095381,-0.000000,-0.000000
0.119503,-0.000000,-0.000000
0.143557,-0.000000,-0.000000
0.167636,-0.000000,-0.000000
0.191803,-0.000000,-0.000000
0.215887,-0.000000,-0.000000
0.239924,-0.000000,-0.000000
0.264010,-0.000000,-0.000000
0.288142,-0.000000,-0.000000
0.312339,-0.000000,-0.000000
0.336566,-0.000000,-0.000000
0.360687,-0.000000,-0.000000
0.384835,-0.000000,-0.000000
0.409020,-0.000000,-0.000000
0.433200,-0.000000,-0.000000
0.457262,-0.000000,-0.000000
0.481416,-0.000000,-0.000000
0.505481,-0.000000,-0.000000
0.529532,-0.000000,-0.000000
0.553615,0.000000,0.000000
0.577743,0.000000,0.000000
0.601826,0.000000,0.000000
0.625923,0.000000,0.000000
0.649952,0.000000,0.000000
0.673911,0.000000,0.000000
0.697967,0.000000,0.000000
0.722148,0.000000,0.000000
0.746362,0.000000,0.000000
0.770456,0.000000,0.000000
0.794502,0.000000,0.000000
0.818698,1.343461,0.136995
0.842905,1.343461,0.136995
0.867141,1.343461,0.136995
0.891398,1.343461,0.136995
0.915539,1.343461,0.136995
0.939610,1.343461,0.136995
0.963892,1.343461,0.136995
0.988203,1.343461,0.136995
1.012849,1.343461,0.136995
1.037269,1.343461,0.136995
1.061410,2.015192,0.205492
1.085560,2.015192,0.205492
1.109745,2.015192,0.205492
1.133980,2.015192,0.205492
1.158190,2.015192,0.205492
1.182556,2.015192,0.205492
1.206650,2.015192,0.205492
1.230984,2.015192,0.205492
1.255203,2.015192,0.205492
1.279340,2.015192,0.205492
1.303388,2.609415,0.266086
1.327629,2.609415,0.266086
1.351973,2.609415,0.266086
1.376429,2.609415,0.266086
1.400708,2.609415,0.266086
1.424938,2.609415,0.266086
1.449059,2.609415,0.266086
1.473200,2.609415,0.266086
1.497435,2.609415,0.266086
1.521621,2.609415,0.266086
1.545811,2.609415,0.266086
1.569991,3.332817,0.339853
1.594088,3.332817,0.339853
1.618264,3.332817,0.339853
1.642315,3.332817,0.339853
1.666482,3.332817,0.339853
1.690560,3.332817,0.339853
1.714802,3.332817,0.339853
1.739000,3.332817,0.339853
1.763059,3.332817,0.339853
1.787198,3.332817,0.339853
1.811214,3.720353,0.379370
1.835280,3.720353,0.379370
1.859508,3.720353,0.379370
1.883708,3.720353,0.379370
1.907884,3.720353,0.379370
1.931963,3.720353,0.379370
1.956105,3.720353,0.379370
1.980284,3.720353,0.379370
2.004352,3.720353,0.379370
2.028516,3.720353,0.379370
2.053143,4.366248,0.445233
2.077391,4.366248,0.445233
2.101462,4.366248,0.445233
2.125632,4.366248,0.445233
2.149736,4.366248,0.445233
2.173908,4.366248,0.445233
2.197957,4.366248,0.445233
2.222057,4.366248,0.445233
2.246281,4.366248,0.445233
2.270350,4.366248,0.445233
2.294476,4.366248,0.445233
2.318568,4.882964,0.497924
2.342742,4.882964,0.497924
2.366911,4.882964,0.497924
2.391090,4.882964,0.497924
2.415180,4.882964,0.497924
2.439344,4.882964,0.497924
2.463422,4.882964,0.497924
2.487532,4.882964,0.497924
2.511677,4.882964,0.497924
2.535727,4.882964,0.497924
2.559829,5.399680,0.550614
2.584253,5.399680,0.550614
2.608473,5.399680,0.550614
2.632561,5.399680,0.550614
2.656709,5.399680,0.550614
2.680816,5.399680,0.550614
2.704953,5.399680,0.550614
2.728939,5.399680,0.550614
2.752991,5.399680,0.550614
2.777062,5.399680,0.550614
2.801145,5.399680,0.550614
2.825265,5.916395,0.603304
2.849380,5.916395,0.603304
2.873556,5.916395,0.603304
2.897719,5.916395,0.603304
2.921797,5.916395,0.603304
2.945969,5.916395,0.603304
2.970037,5.916395,0.603304
2.994121,5.916395,0.603304
3.018227,5.916395,0.603304
3.042255,5.916395,0.603304
3.066355,6.355604,0.648091
3.090474,6.355604,0.648091
3.114593,6.355604,0.648091
3.138748,6.355604,0.648091
3.162958,6.355604,0.648091
3.187043,6.355604,0.648091
3.211188,6.355604,0.648091
3.235413,6.355604,0.648091
3.259582,6.355604,0.648091
3.283674,6.355604,0.648091
3.307907,6.846484,0.698147
3.332067,6.846484,0.698147
3.356192,6.846484,0.698147
3.380394,6.846484,0.698147
3.404527,6.846484,0.698147
3.428642,6.846484,0.698147
3.452788,6.846484,0.698147
3.476970,6.846484,0.698147
3.501067,6.846484,0.698147
3.525131,6.846484,0.698147
3.549270,6.846484,0.698147
3.573358,7.208185,0.735030
3.597525,7.208185,0.735030
3.621659,7.208185,0.735030
3.645832,7.208185,0.735030
3.669909,7.208185,0.735030
3.694084,7.208185,0.735030
3.718253,7.208185,0.735030
3.742337,7.208185,0.735030
3.766444,7.208185,0.735030
3.790580,7.208185,0.735030
3.814685,7.466543,0.761375
3.838754,7.466543,0.761375
3.862826,7.466543,0.761375
3.886886,7.466543,0.761375
3.910965,7.466543,0.761375
3.935043,7.466543,0.761375
3.959115,7.466543,0.761375
3.983175,7.466543,0.761375
4.007252,7.466543,0.761375
4.031490,7.466543,0.761375
4.055607,7.466543,0.761375
4.079685,7.879915,0.803528
4.103872,7.879915,0.803528
4.127940,7.879915,0.803528
4.151999,7.879915,0.803528
4.176187,7.879915,0.803528
4.200245,7.879915,0.803528
4.224332,7.879915,0.803528
4.248383,7.879915,0.803528
4.272518,7.879915,0.803528
4.296539,7.879915,0.803528
4.320614,8.215780,0.837776
4.344695,8.215780,0.837776
4.368763,8.215780,0.837776
4.392812,8.215780,0.837776
4.416813,8.215780,0.837776
4.440881,8.215780,0.837776
4.464958,8.215780,0.837776
4.489038,8.215780,0.837776
4.513089,8.215780,0.837776
4.537058,8.215780,0.837776
4.561153,8.499974,0.866756
4.585360,8.499974,0.866756
4.609559,8.499974,0.866756
4.633795,8.499974,0.866756
4.657939,8.499974,0.866756
4.682011,8.499974,0.866756
4.706090,8.499974,0.866756
4.730170,8.499974,0.866756
4.754246,8.499974,0.866756
4.778317,8.499974,0.866756
4.802397,8.499974,0.866756
4.826485,8.758332,0.893101
4.851114,8.758332,0.893101
4.875261,8.758332,0.893101
4.899334,8.758332,0.893101
4.923562,8.758332,0.893101
4.947892,8.758332,0.893101
4.972002,8.758332,0.893101
4.996336,8.758332,0.893101
5.020525,8.758332,0.893101
5.044625,8.758332,0.893101
5.068764,9.016690,0.919447
5.092834,9.016690,0.919447
5.117001,9.016690,0.919447
5.141090,9.016690,0.919447
5.165178,9.016690,0.919447
5.189224,9.016690,0.919447
5.213307,9.016690,0.919447
5.237580,9.016690,0.919447
5.261791,9.016690,0.919447
5.285925,9.016690,0.919447
5.309991,9.197540,0.937888
5.334156,9.197540,0.937888
5.358261,9.197540,0.937888
5.382409,9.197540,0.937888
5.406724,9.197540,0.937888
5.430925,9.197540,0.937888
5.455206,9.197540,0.937888
5.479485,9.197540,0.937888
5.503732,9.197540,0.937888
5.527961,9.197540,0.937888
5.552317,9.197540,0.937888
5.576665,9.533405,0.972137
5.600803,9.533405,0.972137
5.624887,9.533405,0.972137
5.648939,9.533405,0.972137
5.673011,9.533405,0.972137
5.697081,9.533405,0.972137
5.721071,9.533405,0.972137
5.745132,9.533405,0.972137
5.769192,9.533405,0.972137
5.793262,9.533405,0.972137
5.817450,9.714256,0.990578
5.841610,9.714256,0.990578
5.865778,9.714256,0.990578
5.889837,9.714256,0.990578
5.914005,9.714256,0.990578
5.938087,9.714256,0.990578
5.962288,9.714256,0.990578
5.986538,9.714256,0.990578
6.010838,9.714256,0.990578
6.035059,9.714256,0.990578
6.059189,9.714256,0.990578
6.083254,9.946778,1.014289
6.107430,9.946778,1.014289
6.131501,9.946778,1.014289
6.155569,9.946778,1.014289
6.179667,9.946778,1.014289
6.203830,9.946778,1.014289
6.227904,9.946778,1.014289
6.251952,9.946778,1.014289
6.276029,9.946778,1.014289
6.300090,9.946778,1.014289
6.324164,10.179300,1.038000
6.348242,10.179300,1.038000
6.372303,10.179300,1.038000
6.396464,10.179300,1.038000
6.420814,10.179300,1.038000
6.445179,10.179300,1.038000
6.469637,10.179300,1.038000
6.494001,10.179300,1.038000
6.518521,10.179300,1.038000
6.542867,10.179300,1.038000
6.567075,10.385986,1.059076
6.591188,10.385986,1.059076
6.615427,10.385986,1.059076
6.639595,10.385986,1.059076
6.663725,10.385986,1.059076
6.687831,10.385986,1.059076
6.711922,10.385986,1.059076
6.735996,10.385986,1.059076
6.760067,10.385986,1.059076
